epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2792.51,0.46749,0.41798,1.05755,0.97544,0.95688,0.98764,0.95625,0.26244,0.24951,0.88753,0.0008912,0.0008912,0.0008912
58,2839.31,0.46942,0.42443,1.0568,0.97788,0.95181,0.98553,0.95316,0.28111,0.24835,0.89688,0.0008714,0.0008714,0.0008714
59,2887.43,0.47006,0.42247,1.05289,0.98585,0.95909,0.98552,0.95304,0.29275,0.25332,0.90972,0.0008516,0.0008516,0.0008516
60,2935.35,0.45759,0.41112,1.05512,0.98069,0.96163,0.98814,0.95735,0.25556,0.23284,0.87933,0.0008318,0.0008318,0.0008318
61,2982.95,0.46468,0.40621,1.05253,0.97909,0.95869,0.98744,0.95967,0.25914,0.23911,0.88179,0.000812,0.000812,0.000812
62,3031.29,0.46881,0.41855,1.05573,0.98014,0.95697,0.98631,0.95276,0.2912,0.24561,0.89988,0.0007922,0.0007922,0.0007922
63,3078.15,0.45692,0.40884,1.04911,0.98928,0.95293,0.98997,0.96472,0.25143,0.22939,0.87679,0.0007724,0.0007724,0.0007724
64,3126.32,0.45061,0.39568,1.0478,0.98376,0.95353,0.98996,0.95857,0.28928,0.24633,0.90059,0.0007526,0.0007526,0.0007526
65,3174.05,0.44081,0.39198,1.04018,0.97563,0.96479,0.98913,0.96131,0.26198,0.22432,0.87821,0.0007328,0.0007328,0.0007328
66,3221.01,0.44925,0.39695,1.0507,0.97913,0.95697,0.98628,0.9568,0.26491,0.22212,0.88545,0.000713,0.000713,0.000713
67,3269.47,0.43965,0.3881,1.03725,0.99276,0.94383,0.98897,0.96162,0.25392,0.23106,0.88184,0.0006932,0.0006932,0.0006932
68,3317.98,0.44038,0.38782,1.04482,0.97515,0.96041,0.98919,0.95784,0.2714,0.23994,0.88838,0.0006734,0.0006734,0.0006734
69,3366.08,0.44354,0.38582,1.03632,0.98333,0.94836,0.98745,0.9611,0.27141,0.23915,0.88313,0.0006536,0.0006536,0.0006536
70,3414.34,0.43928,0.39037,1.04127,0.97886,0.95623,0.98352,0.95813,0.24597,0.22939,0.87012,0.0006338,0.0006338,0.0006338
71,3462.72,0.42152,0.37952,1.0317,0.98035,0.95525,0.98687,0.95747,0.27075,0.2351,0.88451,0.000614,0.000614,0.000614
72,3510.1,0.43463,0.37833,1.0316,0.97409,0.96041,0.98813,0.96158,0.25492,0.21942,0.87362,0.0005942,0.0005942,0.0005942
73,3558.83,0.41996,0.36303,1.02533,0.99111,0.9598,0.99029,0.9612,0.26491,0.2227,0.88449,0.0005744,0.0005744,0.0005744
74,3607.11,0.42515,0.36964,1.0281,0.99105,0.95305,0.9901,0.96129,0.24764,0.21426,0.872,0.0005546,0.0005546,0.0005546
75,3654.78,0.42326,0.37021,1.02584,0.98765,0.96345,0.99239,0.96475,0.25518,0.21095,0.87704,0.0005348,0.0005348,0.0005348
76,3702.98,0.43112,0.36768,1.03069,0.98766,0.96406,0.99148,0.96322,0.24319,0.20669,0.86419,0.000515,0.000515,0.000515
77,3750.64,0.41675,0.3595,1.02715,0.99004,0.95525,0.99074,0.96467,0.24655,0.20833,0.86988,0.0004952,0.0004952,0.0004952
78,3798.52,0.42178,0.36326,1.02593,0.98877,0.9432,0.99089,0.96218,0.26225,0.22745,0.88285,0.0004754,0.0004754,0.0004754
79,3846.73,0.40909,0.35274,1.02549,0.98069,0.96176,0.99162,0.96367,0.24076,0.20605,0.86738,0.0004556,0.0004556,0.0004556
80,3894.99,0.41205,0.35727,1.02541,0.9893,0.9544,0.99018,0.96352,0.23387,0.20163,0.8615,0.0004358,0.0004358,0.0004358
81,3943.71,0.41216,0.36032,1.01668,0.98751,0.9523,0.99024,0.96627,0.23937,0.21198,0.86084,0.000416,0.000416,0.000416
82,3993.99,0.40198,0.34527,1.01587,0.97404,0.96863,0.99186,0.96551,0.23674,0.2103,0.86467,0.0003962,0.0003962,0.0003962
83,4043.03,0.40813,0.35543,1.02042,0.98587,0.94664,0.98787,0.96448,0.23481,0.21557,0.858,0.0003764,0.0003764,0.0003764
84,4091.42,0.40353,0.35412,1.00969,0.98581,0.95649,0.98956,0.96483,0.23382,0.20731,0.85781,0.0003566,0.0003566,0.0003566
85,4140.58,0.40019,0.34961,1.02036,0.98572,0.96386,0.99179,0.9687,0.23005,0.20464,0.8566,0.0003368,0.0003368,0.0003368
86,4187.85,0.39146,0.34327,1.01019,0.98236,0.95842,0.99026,0.97095,0.2203,0.2029,0.84741,0.000317,0.000317,0.000317
87,4236.75,0.38963,0.32944,1.00479,0.98403,0.95459,0.99018,0.96616,0.23667,0.2015,0.8603,0.0002972,0.0002972,0.0002972
88,4286.1,0.39537,0.33928,1.01502,0.98449,0.95869,0.98937,0.96695,0.23259,0.20515,0.86275,0.0002774,0.0002774,0.0002774
89,4334.04,0.39108,0.33234,1.00854,0.98754,0.95508,0.98905,0.96805,0.22657,0.20343,0.85399,0.0002576,0.0002576,0.0002576
90,4382.65,0.39585,0.33445,1.01161,0.99461,0.95338,0.98964,0.96875,0.22401,0.20648,0.85185,0.0002378,0.0002378,0.0002378
91,4433.61,0.2607,0.23913,0.91381,0.9909,0.95697,0.98836,0.96636,0.23325,0.20283,0.85856,0.000218,0.000218,0.000218
92,4480.85,0.25057,0.21961,0.90067,0.98846,0.95697,0.98766,0.96691,0.2237,0.19801,0.85235,0.0001982,0.0001982,0.0001982
93,4528.71,0.24565,0.21324,0.90648,0.98756,0.9568,0.9896,0.96745,0.23084,0.20052,0.85896,0.0001784,0.0001784,0.0001784
94,4576.33,0.24874,0.21215,0.897,0.9877,0.95697,0.98998,0.96707,0.22022,0.19219,0.85157,0.0001586,0.0001586,0.0001586
95,4623.32,0.23527,0.20633,0.89505,0.98136,0.96041,0.98977,0.96703,0.21998,0.1954,0.85063,0.0001388,0.0001388,0.0001388
96,4671.1,0.2372,0.20125,0.89794,0.98836,0.95697,0.99041,0.96708,0.21969,0.19412,0.85194,0.000119,0.000119,0.000119
97,4717.77,0.22884,0.20052,0.89401,0.98409,0.95832,0.98916,0.96863,0.21597,0.19301,0.8486,9.92e-05,9.92e-05,9.92e-05
98,4765.76,0.22935,0.19172,0.8896,0.98302,0.96213,0.99079,0.96774,0.21612,0.18838,0.84973,7.94e-05,7.94e-05,7.94e-05
99,4812.8,0.22885,0.19734,0.88946,0.98411,0.95945,0.98902,0.9681,0.21323,0.1913,0.84778,5.96e-05,5.96e-05,5.96e-05
100,4859.92,0.2273,0.19593,0.88901,0.98756,0.95674,0.98921,0.96837,0.21289,0.18794,0.84712,3.98e-05,3.98e-05,3.98e-05
